	Datetime	Open	High	Low	Close	Volume	EMA_100	Lag_1
99	2022-02-01 01:39:00	38296.99	38317.86	38294.72	38317.85	4.32655	38365.0712	20.869999999995343
100	2022-02-01 01:40:00	38317.86	38330.47	38301.57	38301.58	15.53748	38364.0398	-16.2699999999968
101	2022-02-01 01:41:00	38301.57	38315.16	38301.19	38305.19	5.17423	38363.8427	3.610000000000582
102	2022-02-01 01:42:00	38305.2	38305.2	38289.88	38290.59	9.52278	38363.0846	-14.60000000000582
103	2022-02-01 01:43:00	38290.59	38294.71	38275.67	38285.61	9.17792	38361.7536	-4.9799999999959255
104	2022-02-01 01:44:00	38285.61	38296.67	38276.71	38283.37	8.56547	38360.2589	-2.2399999999979627
105	2022-02-01 01:45:00	38283.36	38300.0	38280.26	38287.73	14.88458	38358.9284	4.360000000000582
106	2022-02-01 01:46:00	38287.73	38287.74	38176.9	38227.28	76.07503	38356.7292	-60.450000000004366
107	2022-02-01 01:47:00	38227.28	38230.0	38182.09	38210.83	35.30405	38353.7775	-16.44999999999709
108	2022-02-01 01:48:00	38210.82	38221.59	38191.47	38194.38	13.71101	38350.4107	-16.450000000004366
109	2022-02-01 01:49:00	38194.39	38200.0	38188.64	38188.64	8.09184	38346.34	-5.739999999997963
110	2022-02-01 01:50:00	38188.65	38208.9	38175.86	38175.91	12.66378	38342.4185	-12.729999999995925
111	2022-02-01 01:51:00	38177.26	38229.56	38175.87	38219.07	32.73726	38339.3415	43.15999999999622
112	2022-02-01 01:52:00	38219.07	38222.38	38200.0	38206.09	2.62908	38336.2998	-12.980000000003201
113	2022-02-01 01:53:00	38206.09	38222.0	38203.85	38221.99	12.14136	38333.254	15.900000000001455
114	2022-02-01 01:54:00	38222.0	38276.67	38204.12	38210.74	17.39375	38330.3846	-11.25
115	2022-02-01 01:55:00	38210.74	38249.99	38210.74	38249.99	8.18291	38327.851	39.25
116	2022-02-01 01:56:00	38249.99	38272.01	38249.98	38256.01	24.79119	38325.7376	6.0200000000040745
117	2022-02-01 01:57:00	38256.02	38256.02	38221.27	38226.43	12.92424	38324.2791	-29.580000000001746
118	2022-02-01 01:58:00	38226.43	38265.01	38226.0	38244.13	7.73296	38323.5571	17.69999999999709
119	2022-02-01 01:59:00	38244.13	38244.13	38226.0	38238.19	3.26885	38322.5064	-5.939999999995052
120	2022-02-01 02:00:00	38238.18	38257.98	38226.05	38226.05	8.56892	38321.386099999996	-12.139999999999418
121	2022-02-01 02:01:00	38226.05	38235.64	38226.05	38227.46	3.75525	38320.4241	1.4099999999962165
122	2022-02-01 02:02:00	38227.47	38274.4	38227.46	38271.09	12.84895	38319.6505	43.62999999999738
123	2022-02-01 02:03:00	38271.09	38300.0	38252.61	38252.62	10.85398	38318.5515	-18.469999999993888
124	2022-02-01 02:04:00	38252.61	38262.14	38241.37	38241.37	8.99921	38316.8271	-11.25
125	2022-02-01 02:05:00	38241.38	38279.2	38231.34	38233.88	46.6229	38314.9361	-7.490000000005239
126	2022-02-01 02:06:00	38233.88	38248.02	38200.3	38211.55	11.80474	38313.0164	-22.32999999999447
127	2022-02-01 02:07:00	38211.56	38229.74	38196.61	38223.15	21.0079	38311.0348	11.599999999998545
128	2022-02-01 02:08:00	38223.16	38235.8	38217.16	38229.02	10.26718	38309.157600000006	5.869999999995343
129	2022-02-01 02:09:00	38229.01	38250.33	38227.53	38243.72	10.30104	38307.1991	14.700000000004366
130	2022-02-01 02:10:00	38243.73	38278.15	38241.02	38270.57	15.71415	38305.3808	26.849999999998545
131	2022-02-01 02:11:00	38270.56	38287.53	38252.54	38287.47	26.6434	38303.6899	16.900000000001455
132	2022-02-01 02:12:00	38287.48	38310.99	38271.18	38302.28	31.339	38302.538700000005	14.809999999997672
133	2022-02-01 02:13:00	38304.79	38305.88	38284.0	38302.12	25.26001	38301.7033	-0.1599999999962165
134	2022-02-01 02:14:00	38302.12	38308.55	38291.96	38294.99	20.91371	38300.7273	-7.130000000004657
135	2022-02-01 02:15:00	38294.99	38350.67	38294.99	38348.82	38.0738	38300.3061	53.830000000001746
136	2022-02-01 02:16:00	38348.82	38350.53	38314.38	38333.51	16.34987	38299.8407	-15.309999999997672
137	2022-02-01 02:17:00	38333.5	38345.96	38330.26	38339.93	6.55045	38299.6719	6.419999999998254
138	2022-02-01 02:18:00	38339.93	38352.01	38323.15	38349.2	13.9789	38299.7641	9.269999999996799
139	2022-02-01 02:19:00	38349.2	38354.8	38335.09	38340.39	5.90994	38299.9093	-8.809999999997672
140	2022-02-01 02:20:00	38340.39	38351.32	38336.33	38346.34	6.0979	38300.1465	5.94999999999709
141	2022-02-01 02:21:00	38346.33	38354.73	38342.76	38343.7	4.31553	38300.6551	-2.639999999999418
142	2022-02-01 02:22:00	38343.71	38358.14	38336.33	38349.15	13.92543	38301.1144	5.450000000004366
143	2022-02-01 02:23:00	38349.16	38355.0	38337.14	38354.73	7.33627	38301.4047	5.580000000001746
144	2022-02-01 02:24:00	38354.74	38373.91	38351.37	38369.55	8.93436	38302.0315	14.819999999999709
145	2022-02-01 02:25:00	38369.55	38380.66	38369.55	38370.89	11.70566	38302.9205	1.3399999999965075
146	2022-02-01 02:26:00	38370.9	38426.92	38370.03	38406.64	48.05527	38304.1613	35.75
147	2022-02-01 02:27:00	38406.65	38414.01	38382.09	38386.74	6.44645	38305.0822	-19.900000000001455
148	2022-02-01 02:28:00	38386.74	38391.7	38384.49	38389.19	2.63761	38305.6652	2.4500000000043656
149	2022-02-01 02:29:00	38389.19	38389.19	38365.57	38365.57	6.55699	38306.0709	-23.62000000000262
150	2022-02-01 02:30:00	38367.74	38375.3	38355.6	38355.6	6.01844	38306.1638	-9.970000000001164
151	2022-02-01 02:31:00	38355.61	38381.58	38353.96	38376.97	12.00542	38306.3178	21.37000000000262
152	2022-02-01 02:32:00	38376.98	38379.8	38362.67	38364.32	6.22971	38306.567200000005	-12.650000000001455
153	2022-02-01 02:33:00	38364.32	38386.83	38364.32	38379.97	6.3565	38306.950899999996	15.650000000001455
154	2022-02-01 02:34:00	38379.97	38449.11	38370.87	38440.45	21.20949	38307.9731	60.479999999995925
155	2022-02-01 02:35:00	38440.45	38462.66	38416.42	38434.0	37.617	38309.0101	-6.44999999999709
156	2022-02-01 02:36:00	38434.01	38443.07	38414.11	38418.49	9.91765	38310.0245	-15.510000000002037
157	2022-02-01 02:37:00	38418.49	38441.71	38418.48	38439.52	2.87618	38311.307799999995	21.029999999998836
158	2022-02-01 02:38:00	38439.53	38468.68	38435.38	38468.68	13.68142	38312.8946	29.160000000003492
159	2022-02-01 02:39:00	38468.68	38506.18	38460.44	38489.61	33.65576	38314.3671	20.93000000000029
160	2022-02-01 02:40:00	38489.61	38504.53	38487.46	38493.22	6.53885	38315.62820000001	3.610000000000582
161	2022-02-01 02:41:00	38493.22	38498.66	38430.98	38449.71	18.98833	38316.4499	-43.51000000000204
162	2022-02-01 02:42:00	38449.72	38458.64	38443.62	38445.03	5.24589	38317.794499999996	-4.680000000000291
163	2022-02-01 02:43:00	38445.04	38460.45	38433.31	38456.7	9.73562	38319.040100000006	11.669999999998254
164	2022-02-01 02:44:00	38456.71	38466.51	38449.08	38452.0	8.45791	38320.3023	-4.69999999999709
165	2022-02-01 02:45:00	38449.09	38469.03	38449.09	38460.14	9.78481	38321.644	8.139999999999418
166	2022-02-01 02:46:00	38460.14	38465.56	38455.57	38456.68	2.26114	38322.5107	-3.459999999999127
167	2022-02-01 02:47:00	38456.68	38460.84	38430.98	38440.12	6.12602	38323.002799999995	-16.55999999999767
168	2022-02-01 02:48:00	38440.11	38445.4	38431.34	38442.13	5.79498	38323.7935	2.0099999999947613
169	2022-02-01 02:49:00	38442.13	38443.64	38435.01	38440.83	2.8731	38324.5325	-1.2999999999956344
170	2022-02-01 02:50:00	38440.83	38443.06	38438.0	38438.0	3.58281	38325.099500000004	-2.8300000000017462
171	2022-02-01 02:51:00	38438.0	38500.0	38438.0	38450.73	25.18541	38325.8568	12.730000000003201
172	2022-02-01 02:52:00	38450.72	38455.87	38413.02	38434.99	7.68899	38326.5667	-15.740000000005239
173	2022-02-01 02:53:00	38435.0	38436.0	38425.07	38427.93	4.91657	38327.2844	-7.059999999997672
174	2022-02-01 02:54:00	38427.93	38430.99	38421.83	38426.31	8.10304	38327.8079	-1.6200000000026193
175	2022-02-01 02:55:00	38426.31	38438.0	38425.66	38428.67	5.30132	38328.292799999996	2.360000000000582
176	2022-02-01 02:56:00	38428.7	38463.39	38428.67	38463.38	7.94833	38329.448200000006	34.70999999999913
177	2022-02-01 02:57:00	38463.39	38463.39	38439.1	38455.31	7.26138	38330.7207	-8.069999999999709
178	2022-02-01 02:58:00	38455.32	38459.98	38443.75	38459.71	4.11465	38332.0413	4.400000000001455
