Event,Type,Event_price,Deal_size,Max_open,Eq,Start_marj,Liquidation_price,Balance_before,Balance_after,Leverage,Event_index
Create,True,397.4664306640625,25.0,3.77390361619695,1.8639151781755647,25.0,373.1076591243067,50,25.0,30,1
Close,True,397.6393127441406,25.0,3.77390361619695,1.8639151781755647,25.0,373.1076591243067,25.0,50.325975488476104,30,5
Create,False,397.6393127441406,25.162987744238052,3.796856136369354,1.875251331685981,25.162987744238045,421.70733024022593,50.325975488476104,25.16298774423806,30,5
Close,False,397.6580810546875,25.162987744238052,3.796856136369354,1.875251331685981,25.162987744238045,421.70733024022593,25.16298774423806,50.29037192365716,30,7
Create,True,397.6580810546875,25.14518596182858,3.7939909424404004,1.873836224413587,25.14518596182858,373.2875642008105,50.29037192365716,25.14518596182858,30,7
Close,True,397.36895751953125,25.14518596182858,3.7939909424404004,1.873836224413587,25.14518596182858,373.2875642008105,25.14518596182858,49.74231723637021,30,10
Create,False,397.36895751953125,24.871158618185106,3.755375171745164,1.8547640571205786,24.871158618185106,421.4206111550335,49.74231723637021,24.871158618185106,30,10
Close,False,397.4360046386719,24.871158618185106,3.755375171745164,1.8547640571205786,24.871158618185106,421.4206111550335,24.871158618185106,49.6165181132488,30,11
Create,True,397.4360046386719,24.8082590566244,3.745245840901422,1.849761223072729,24.8082590566244,373.0790977610464,49.6165181132488,24.8082590566244,30,11
Close,True,397.9725341796875,24.8082590566244,3.745245840901422,1.849761223072729,24.8082590566244,373.0790977610464,24.8082590566244,50.62048209111651,30,19
Create,False,397.9725341796875,25.310241045558254,3.8158775601530075,1.8846459331667123,25.310241045558254,422.06072065575984,50.62048209111651,25.310241045558254,30,19
Close,False,397.98419189453125,25.310241045558254,3.8158775601530075,1.8846459331667123,25.310241045558254,422.06072065575984,25.310241045558254,50.59825656653372,30,21
Create,True,397.98419189453125,25.29912828326686,3.814090428491891,1.8837632763298349,25.29912828326686,373.59368930391895,50.59825656653372,25.29912828326686,30,21
Close,True,397.9204406738281,25.29912828326686,3.814090428491891,1.8837632763298349,25.29912828326686,373.59368930391895,25.29912828326686,50.476771288534785,30,22
Create,False,397.9204406738281,25.238385644267392,3.8055424750026963,1.8795414779292428,25.238385644267392,422.00547407280203,50.476771288534785,25.238385644267392,30,22
Close,False,398.19219970703125,25.238385644267392,3.8055424750026963,1.8795414779292428,25.238385644267392,422.00547407280203,25.238385644267392,49.96006383807864,30,24
Create,True,398.19219970703125,24.98003191903932,3.764016262109349,1.8590318554333563,24.98003191903932,373.7889493359971,49.96006383807864,24.98003191903932,30,24
Close,True,398.4124450683594,24.98003191903932,3.764016262109349,1.8590318554333563,24.98003191903932,373.7889493359971,24.98003191903932,50.37425652125455,30,28
Create,False,398.4124450683594,25.187128260627276,3.7931237197631735,1.873407906768165,25.187128260627276,422.52725814453373,50.37425652125455,25.187128260627276,30,28
Close,False,398.29681396484375,25.187128260627276,3.7931237197631735,1.873407906768165,25.187128260627276,422.52725814453373,25.187128260627276,50.59339358584275,30,29
Create,True,398.29681396484375,25.296696792921374,3.810730476265505,1.8821038100080598,25.296696792921377,373.88715229813965,50.59339358584275,25.29669679292137,30,29
Close,True,398.5052185058594,25.296696792921374,3.810730476265505,1.8821038100080598,25.296696792921377,373.88715229813965,25.29669679292137,50.99018253868697,30,33
Create,False,398.5052185058594,25.495091269343487,3.838608392371949,1.895872595926092,25.495091269343487,422.6256469038728,50.99018253868697,25.495091269343487,30,33
Close,False,398.73138427734375,25.495091269343487,3.838608392371949,1.895872595926092,25.495091269343487,422.6256469038728,25.495091269343487,50.55642718512906,30,36
Create,True,398.73138427734375,25.27821359256453,3.8037959271821773,1.878678865281134,25.27821359256453,374.2950899238428,50.55642718512906,25.27821359256453,30,36
Close,True,399.0091857910156,25.27821359256453,3.8037959271821773,1.878678865281134,25.27821359256453,374.2950899238428,25.27821359256453,51.084381055664274,30,41
Create,False,399.0091857910156,25.542190527832137,3.840842482440001,1.8969760036467829,25.542190527832137,423.16011794720345,51.084381055664274,25.542190527832137,30,41
Close,False,399.0867919921875,25.542190527832137,3.840842482440001,1.8969760036467829,25.542190527832137,423.16011794720345,25.542190527832137,50.9354562359313,30,42
Create,True,399.0867919921875,25.46772811796565,3.828900674587728,1.8910779948011995,25.46772811796565,374.62871643991997,50.9354562359313,25.46772811796565,30,42
Close,True,398.9853515625,25.46772811796565,3.828900674587728,1.8910779948011995,25.46772811796565,374.62871643991997,25.46772811796565,50.74139922309945,30,43
Create,False,398.9853515625,25.370699611549725,3.8152828687359177,1.884352217568389,25.37069961154972,423.1348410981759,50.74139922309945,25.37069961154973,30,43
Close,False,398.7647705078125,25.370699611549725,3.8152828687359177,1.884352217568389,25.37069961154972,423.1348410981759,25.37069961154973,51.16187319048824,30,46
Create,True,398.7647705078125,25.58093659524412,3.8490265671164057,1.9010180887658505,25.58093659524412,374.3264300757051,51.16187319048824,25.58093659524412,30,46
Close,True,398.756103515625,25.58093659524412,3.8490265671164057,1.9010180887658505,25.58093659524412,374.3264300757051,25.58093659524412,51.14520595870113,30,48
Create,False,398.756103515625,25.572602979350567,3.8478562841632122,1.9004400909203685,25.572602979350567,422.8917172954933,51.14520595870113,25.572602979350567,30,48
Close,False,399.0340576171875,25.572602979350567,3.8478562841632122,1.9004400909203685,25.572602979350567,422.8917172954933,25.572602979350567,50.610843313286686,30,51
Create,True,399.0340576171875,25.305421656643343,3.80500177971075,1.8792744307908102,25.305421656643343,374.57921389657616,50.610843313286686,25.305421656643343,30,51
Close,True,399.0503234863281,25.305421656643343,3.80500177971075,1.8792744307908102,25.305421656643343,374.57921389657616,25.305421656643343,50.64176593442804,30,53
Create,False,399.0503234863281,25.32088296721402,3.807171398233166,1.8803459962853357,25.32088296721402,423.2037455944367,50.64176593442804,25.32088296721402,30,53
Close,False,399.1353759765625,25.32088296721402,3.807171398233166,1.8803459962853357,25.32088296721402,423.2037455944367,25.32088296721402,50.47998265887169,30,54
Create,True,399.1353759765625,25.239991329435846,3.7942000907859326,1.8739395219048254,25.239991329435846,374.6743229497598,50.47998265887169,25.239991329435846,30,54
Close,True,399.7940979003906,25.239991329435846,3.7942000907859326,1.8739395219048254,25.239991329435846,374.6743229497598,25.239991329435846,51.7287068044236,30,56
Create,False,399.7940979003906,25.8643534022118,3.8816511106158376,1.9171312140583605,25.8643534022118,423.9925386347695,51.7287068044236,25.8643534022118,30,56
Close,False,399.7437438964844,25.8643534022118,3.8816511106158376,1.9171312140583605,25.8643534022118,423.9925386347695,25.8643534022118,51.826361845763735,30,58
Create,True,399.7437438964844,25.913180922881867,3.8894688887877447,1.920992381930187,25.913180922881867,375.24540697843895,51.826361845763735,25.913180922881867,30,58
Close,True,399.7481384277344,25.913180922881867,3.8894688887877447,1.920992381930187,25.913180922881867,375.24540697843895,25.913180922881867,51.834901632405305,30,59
Create,False,399.7481384277344,25.917450816202653,3.890067018419092,1.9212877956481207,25.917450816202656,423.94379736122846,51.834901632405305,25.91745081620265,30,59
Close,False,399.7486267089844,25.917450816202653,3.890067018419092,1.9212877956481207,25.917450816202656,423.94379736122846,25.91745081620265,51.83395262130468,30,60
Create,True,399.7486267089844,25.91697631065234,3.889991046226129,1.9212502733004444,25.91697631065234,375.2499905472671,51.83395262130468,25.91697631065234,30,60
Close,True,399.7253112792969,25.91697631065234,3.889991046226129,1.9212502733004444,25.91697631065234,375.2499905472671,25.91697631065234,51.788638226247805,30,61
Create,False,399.7253112792969,25.894319113123903,3.8868170289618167,1.9196826394771132,25.894319113123906,423.91958854807535,51.788638226247805,25.8943191131239,30,61
Close,False,399.658447265625,25.894319113123903,3.8868170289618167,1.9196826394771132,25.894319113123906,423.91958854807535,25.8943191131239,51.918484861659984,30,62
Create,True,399.658447265625,25.959242430829992,3.8972141249765753,1.9248177216206221,25.959242430829995,375.16533776047265,51.918484861659984,25.95924243082999,30,62
Close,True,399.80609130859375,25.959242430829992,3.8972141249765753,1.9248177216206221,25.959242430829995,375.16533776047265,25.95924243082999,52.20596931135452,30,65
Create,False,399.80609130859375,26.10298465567726,3.917346717290925,1.9347611245813352,26.102984655677265,424.00525797109196,52.20596931135452,26.102984655677258,30,65
Close,False,399.8230285644531,26.10298465567726,3.917346717290925,1.9347611245813352,26.102984655677265,424.00525797109196,26.102984655677258,52.17281964044807,30,66
Create,True,399.8230285644531,26.086409820224034,3.91469344533047,1.9334506846809372,26.086409820224034,375.31983267728566,52.17281964044807,26.086409820224034,30,66
Close,True,399.8338928222656,26.086409820224034,3.91469344533047,1.9334506846809372,26.086409820224034,375.31983267728566,26.086409820224034,52.194068811032004,30,70
Create,False,399.8338928222656,26.097034405516002,3.916181425437588,1.9341855918191528,26.097034405516002,424.0347422341702,52.194068811032004,26.097034405516002,30,70
Close,False,399.82806396484375,26.097034405516002,3.916181425437588,1.9341855918191528,26.097034405516002,424.0347422341702,26.097034405516002,52.20547368254185,30,73
Create,True,399.82806396484375,26.102736841270925,3.917094250327475,1.934636432206272,26.102736841270925,375.32455948263964,52.20547368254185,26.102736841270925,30,73
Close,True,399.9462890625,26.102736841270925,3.917094250327475,1.934636432206272,26.102736841270925,375.32455948263964,26.102736841270925,52.436849445609845,30,74
Create,False,399.9462890625,26.218424722804922,3.9332918604039473,1.9426363639327024,26.218424722804922,424.15394151069836,52.436849445609845,26.218424722804922,30,74
Close,False,399.920654296875,26.218424722804922,3.9332918604039473,1.9426363639327024,26.218424722804922,424.15394151069836,26.218424722804922,52.48722614221732,30,75
Create,True,399.920654296875,26.24361307110866,3.9373229848179503,1.9446273193848045,26.24361307110866,375.411475406543,52.48722614221732,26.24361307110866,30,75
Close,True,399.73406982421875,26.24361307110866,3.9373229848179503,1.9446273193848045,26.24361307110866,375.411475406543,26.24361307110866,52.120179967067294,30,77
Create,False,399.73406982421875,26.060089983533647,3.9116140380518662,1.9319297783330007,26.06008998353365,423.9288772237103,52.120179967067294,26.060089983533643,30,77
Close,False,399.8021240234375,26.060089983533647,3.9116140380518662,1.9319297783330007,26.06008998353365,423.9288772237103,26.060089983533643,51.98717891222145,30,79
Create,True,399.8021240234375,25.993589456110726,3.900968188141028,1.92667183768284,25.993589456110726,375.3002092732402,51.98717891222145,25.993589456110726,30,79
Close,True,399.5761413574219,25.993589456110726,3.900968188141028,1.92667183768284,25.993589456110726,375.3002092732402,25.993589456110726,51.54673389831898,30,82
Create,False,399.5761413574219,25.77336694915949,3.8701059870496843,1.911429125919038,25.77336694915949,423.7613897797696,51.54673389831898,25.77336694915949,30,82
Close,False,399.66204833984375,25.77336694915949,3.8701059870496843,1.911429125919038,25.77336694915949,423.7613897797696,25.77336694915949,51.38062401074147,30,83
Create,True,399.66204833984375,25.690312005370735,3.856805335220453,1.9048599897286662,25.690312005370732,375.1687181424834,51.38062401074147,25.69031200537074,30,83
Close,True,401.826904296875,25.690312005370735,3.856805335220453,1.9048599897286662,25.690312005370732,375.1687181424834,25.69031200537074,55.552206977770474,30,94
Create,False,401.826904296875,27.776103488885237,4.147472933026489,2.0484194979867136,27.776103488885237,426.1483852296163,55.552206977770474,27.776103488885237,30,94
Close,False,402.85693359375,27.776103488885237,4.147472933026489,2.0484194979867136,27.776103488885237,426.1483852296163,27.776103488885237,53.41779967024967,30,95
Create,True,402.85693359375,26.708899835124836,3.9779233183647307,1.9646796539521338,26.708899835124836,378.16780452133594,53.41779967024967,26.708899835124836,30,95
Close,True,407.14794921875,26.708899835124836,3.9779233183647307,1.9646796539521338,26.708899835124836,378.16780452133594,26.708899835124836,61.946064228159344,30,102
Create,False,407.14794921875,30.973032114079672,4.564389751712393,2.2543329672788692,30.97303211407967,431.791498413287,61.946064228159344,30.973032114079675,30,102
Close,False,407.2984313964844,30.973032114079672,4.564389751712393,2.2543329672788692,30.97303211407967,431.791498413287,30.973032114079675,61.60289214546747,30,103
Create,True,407.2984313964844,30.801446072733736,4.537426667781604,2.241016013137983,30.801446072733736,382.3371046693139,61.60289214546747,30.801446072733736,30,103
Close,True,413.5260925292969,30.801446072733736,4.537426667781604,2.241016013137983,30.801446072733736,382.3371046693139,30.801446072733736,75.72107341304451,30,116
Create,False,413.5260925292969,37.860536706522254,5.493322533765866,2.7131289748248033,37.86053670652226,438.5556932531241,75.72107341304451,37.86053670652225,30,116
Close,False,413.58709716796875,37.860536706522254,5.493322533765866,2.7131289748248033,37.86053670652226,438.5556932531241,37.86053670652225,75.55364000421288,30,117
Create,True,413.58709716796875,37.77682000210644,5.480367293000574,2.7067304357111626,37.77682000210644,388.24036890497166,75.55364000421288,37.77682000210644,30,117
Close,True,414.1091613769531,37.77682000210644,5.480367293000574,2.7067304357111626,37.77682000210644,388.24036890497166,37.77682000210644,76.98311889823896,30,120
Create,False,414.1091613769531,38.49155944911948,5.577016357879836,2.7544650037620735,38.49155944911948,439.1740536596807,76.98311889823896,38.49155944911948,30,120
Close,False,414.6407470703125,38.49155944911948,5.577016357879836,2.7544650037620735,38.49155944911948,439.1740536596807,38.49155944911948,75.5018995927892,30,121
Create,True,414.6407470703125,37.7509497963946,5.462697537055083,2.6980034173103458,37.75094979639459,389.2294457634707,75.5018995927892,37.75094979639461,30,121
Close,True,415.391357421875,37.7509497963946,5.462697537055083,2.6980034173103458,37.75094979639459,389.2294457634707,37.75094979639461,77.5505406181788,30,125
Create,False,415.391357421875,38.7752703090894,5.600781472645167,2.7662024943360435,38.7752703090894,440.5338575161382,77.5505406181788,38.7752703090894,30,125
Close,False,415.3696594238281,38.7752703090894,5.600781472645167,2.7662024943360435,38.7752703090894,440.5338575161382,38.7752703090894,77.61125791875146,30,126
Create,True,415.3696594238281,38.80562895937573,5.605459341426747,2.76851287412054,38.80562895937573,389.91368664759415,77.61125791875146,38.80562895937573,30,126
Close,True,415.22406005859375,38.80562895937573,5.605459341426747,2.76851287412054,38.80562895937573,389.91368664759415,38.80562895937573,77.20348831451781,30,127
Create,False,415.22406005859375,38.601744157258906,5.577963495440752,2.7549327910335957,38.6017441572589,440.35643410209315,77.20348831451781,38.60174415725891,30,127
Close,False,415.2596130371094,38.601744157258906,5.577963495440752,2.7549327910335957,38.6017441572589,440.35643410209315,38.60174415725891,77.10440607381676,30,128
Create,True,415.2596130371094,38.55220303690838,5.57032783731798,2.751161571490704,38.55220303690838,389.81038446513037,77.10440607381676,38.55220303690838,30,128
